,Concrete,Strand,Rebar,Span_ft,L_sq,ratio_strand_concrete,ratio_rebar_concrete,interaction_strand_L
65,-0.007088478573866509,-1.1090605715015147,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,-0.9785454006145233,0.722144056923671,-1.3139005931841852
372,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,0.7115680669648206,0.6581948038463274,-1.3609611483250097,-1.575834490550592,-0.49179744800581116
570,-0.007088478573866509,0.004429672434753864,1.1566660078986701,1.4172064000382671,1.5117384501162767,-0.07761607016876633,0.722144056923671,1.1414239603384908
430,-1.2567609975221223,1.1889937617286568,-1.3828405479773531,0.7115680669648206,0.6581948038463274,1.9362816451171263,-0.3189225952874261,1.9964705897577166
83,-0.007088478573866509,1.1889937617286568,-1.3828405479773531,-1.4053469322555192,-1.2999347375964974,0.8808193877522514,-1.0847485786922493,-0.7657866244561646
421,-0.007088478573866509,-1.1090605715015147,1.1566660078986701,0.7115680669648206,0.6581948038463274,-0.9785454006145233,0.722144056923671,-0.20320696748130102
521,-1.2567609975221223,-1.1090605715015147,-0.10308921273274356,1.4172064000382671,1.5117384501162767,-0.3821855601303345,0.8164671195586224,0.8505280107496404
112,-0.007088478573866509,1.1889937617286568,-0.10308921273274356,-1.4053469322555192,-1.2999347375964974,0.8808193877522514,-0.1741885103503685,-0.7657866244561646
130,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,-0.6997085991820726,-0.7476417900100597,-1.3609611483250097,-1.575834490550592,-1.162960177383537
486,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,1.4172064000382671,1.5117384501162767,-1.3609611483250097,-1.575834490550592,-0.08430579088362068
105,-1.2567609975221223,1.1889937617286568,-0.10308921273274356,-1.4053469322555192,-1.2999347375964974,1.9362816451171263,0.8164671195586224,-0.4546515473876939
249,-0.007088478573866509,-1.1090605715015147,-1.3828405479773531,0.005929733891373981,-0.09493194286245134,-0.9785454006145233,-1.0847485786922493,-0.6303968235208718
42,1.1801004144269764,1.1889937617286568,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,0.20400421521702622,-0.05503318890719255,-0.9653019926263212
439,-0.007088478573866509,1.1889937617286568,-1.3828405479773531,0.7115680669648206,0.6581948038463274,0.8808193877522514,-1.0847485786922493,1.199964792462432
469,-0.007088478573866509,1.1889937617286568,-0.10308921273274356,0.7115680669648206,0.6581948038463274,0.8808193877522514,-0.1741885103503685,1.199964792462432
145,1.1801004144269764,0.004429672434753864,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,-0.6026789618664975,-0.8094464330295094,-0.8410760112534031
558,-0.007088478573866509,1.1889937617286568,-1.3828405479773531,1.4172064000382671,1.5117384501162767,0.8808193877522514,-1.0847485786922493,2.0568307947089997
468,-0.007088478573866509,1.1889937617286568,-0.10308921273274356,0.7115680669648206,0.6581948038463274,0.8808193877522514,-0.1741885103503685,1.199964792462432
373,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,0.7115680669648206,0.6581948038463274,-1.3609611483250097,-1.575834490550592,-0.49179744800581116
360,-1.2567609975221223,-1.1090605715015147,-1.3828405479773531,0.7115680669648206,0.6581948038463274,-0.3821855601303345,-0.3189225952874261,0.24683666686491357
412,1.1801004144269764,-1.1090605715015147,-0.10308921273274356,0.7115680669648206,0.6581948038463274,-1.3609611483250097,-0.8094464330295094,-0.49179744800581116
415,-1.2567609975221223,-1.1090605715015147,1.1566660078986701,0.7115680669648206,0.6581948038463274,-0.3821855601303345,1.934116370110203,0.24683666686491357
547,1.1801004144269764,-1.1090605715015147,1.1566660078986701,1.4172064000382671,1.5117384501162767,-1.3609611483250097,-0.05503318890719255,-0.08430579088362068
161,1.1801004144269764,1.1889937617286568,1.1566660078986701,-0.6997085991820726,-0.7476417900100597,0.20400421521702622,-0.05503318890719255,-0.49864604728517553
475,-1.2567609975221223,-1.1090605715015147,-1.3828405479773531,1.4172064000382671,1.5117384501162767,-0.3821855601303345,-0.3189225952874261,0.8505280107496404
165,-1.2567609975221223,-1.1090605715015147,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,-0.3821855601303345,0.8164671195586224,-0.7474784877687544
138,-1.2567609975221223,0.004429672434753864,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,0.7411954568452389,0.8164671195586224,-0.2706130564648525
401,-1.2567609975221223,-1.1090605715015147,-0.10308921273274356,0.7115680669648206,0.6581948038463274,-0.3821855601303345,0.8164671195586224,0.24683666686491357
429,1.1801004144269764,-1.1090605715015147,1.1566660078986701,0.7115680669648206,0.6581948038463274,-1.3609611483250097,-0.05503318890719255,-0.49179744800581116
69,-0.007088478573866509,-1.1090605715015147,1.1566660078986701,-1.4053469322555192,-1.2999347375964974,-0.9785454006145233,0.722144056923671,-1.3139005931841852
525,-0.007088478573866509,-1.1090605715015147,-0.10308921273274356,1.4172064000382671,1.5117384501162767,-0.9785454006145233,-0.1741885103503685,0.2809415360302128
572,-0.007088478573866509,0.004429672434753864,1.1566660078986701,1.4172064000382671,1.5117384501162767,-0.07761607016876633,0.722144056923671,1.1414239603384908
438,-0.007088478573866509,1.1889937617286568,-1.3828405479773531,0.7115680669648206,0.6581948038463274,0.8808193877522514,-1.0847485786922493,1.199964792462432
500,1.1801004144269764,0.004429672434753864,-0.10308921273274356,1.4172064000382671,1.5117384501162767,-0.6026789618664975,-0.8094464330295094,0.6399335829091806
517,1.1801004144269764,1.1889937617286568,1.1566660078986701,1.4172064000382671,1.5117384501162767,0.20400421521702622,-0.05503318890719255,1.4104010018376922
443,1.1801004144269764,1.1889937617286568,-1.3828405479773531,0.7115680669648206,0.6581948038463274,0.20400421521702622,-1.575834490550592,0.6892054499468313
393,-1.2567609975221223,1.1889937617286568,1.1566660078986701,0.7115680669648206,0.6581948038463274,1.9362816451171263,1.934116370110203,1.9964705897577166
3,-1.2567609975221223,-1.1090605715015147,-1.3828405479773531,-1.4053469322555192,-1.2999347375964974,-0.3821855601303345,-0.3189225952874261,-1.138102298517695
292,-0.007088478573866509,-1.1090605715015147,-0.10308921273274356,0.005929733891373981,-0.09493194286245134,-0.9785454006145233,-0.1741885103503685,-0.6303968235208718
79,-1.2567609975221223,1.1889937617286568,-1.3828405479773531,-1.4053469322555192,-1.2999347375964974,1.9362816451171263,-0.3189225952874261,-0.4546515473876939
262,-0.007088478573866509,0.004429672434753864,-0.10308921273274356,0.005929733891373981,-0.09493194286245134,-0.07761607016876633,-0.1741885103503685,-0.10985807301339481
109,-1.2567609975221223,1.1889937617286568,-0.10308921273274356,-1.4053469322555192,-1.2999347375964974,1.9362816451171263,0.8164671195586224,-0.4546515473876939
514,-0.007088478573866509,1.1889937617286568,1.1566660078986701,1.4172064000382671,1.5117384501162767,0.8808193877522514,0.722144056923671,2.0568307947089997
362,-1.2567609975221223,-1.1090605715015147,-1.3828405479773531,0.7115680669648206,0.6581948038463274,-0.3821855601303345,-0.3189225952874261,0.24683666686491357
134,1.1801004144269764,-1.1090605715015147,-1.3828405479773531,-0.6997085991820726,-0.7476417900100597,-1.3609611483250097,-1.575834490550592,-1.162960177383537
226,-1.2567609975221223,1.1889937617286568,-0.10308921273274356,-0.6997085991820726,-0.7476417900100597,1.9362816451171263,0.8164671195586224,0.2366905938584476
461,-1.2567609975221223,1.1889937617286568,-0.10308921273274356,0.7115680669648206,0.6581948038463274,1.9362816451171263,0.8164671195586224,1.9964705897577166
81,-0.007088478573866509,1.1889937617286568,-1.3828405479773531,-1.4053469322555192,-1.2999347375964974,0.8808193877522514,-1.0847485786922493,-0.7657866244561646
440,1.1801004144269764,1.1889937617286568,-1.3828405479773531,0.7115680669648206,0.6581948038463274,0.20400421521702622,-1.575834490550592,0.6892054499468313
188,-0.007088478573866509,-1.1090605715015147,1.1566660078986701,-0.6997085991820726,-0.7476417900100597,-0.9785454006145233,0.722144056923671,-1.0006280320884997
344,1.1801004144269764,0.004429672434753864,1.1566660078986701,0.005929733891373981,-0.09493194286245134,-0.6026789618664975,-0.05503318890719255,-0.4132287951619902
