Concrete,Strand,Rebar,Span_ft,L_sq,ratio_strand_concrete,ratio_rebar_concrete,interaction_strand_L
505.0,2.23,2.82,120.0,14400.0,0.004415841584158415,0.005584158415841584,63.58811881188118
600.0,2.23,2.82,120.0,14400.0,0.0037166666666666667,0.004699999999999999,53.52
600.0,2.23,2.82,120.0,14400.0,0.0037166666666666667,0.004699999999999999,53.52
600.0,2.23,2.82,120.0,14400.0,0.0037166666666666667,0.004699999999999999,53.52
600.0,2.23,2.82,120.0,14400.0,0.0037166666666666667,0.004699999999999999,53.52
600.0,2.23,2.82,120.0,14400.0,0.0037166666666666667,0.004699999999999999,53.52
405.0,1.26,2.18,140.0,19600.0,0.003111111111111111,0.005382716049382717,60.977777777777774
405.0,1.26,2.18,140.0,19600.0,0.003111111111111111,0.005382716049382717,60.977777777777774
405.0,1.26,2.18,140.0,19600.0,0.003111111111111111,0.005382716049382717,60.977777777777774
405.0,1.26,2.18,140.0,19600.0,0.003111111111111111,0.005382716049382717,60.977777777777774
405.0,1.26,2.18,140.0,19600.0,0.003111111111111111,0.005382716049382717,60.977777777777774
505.0,1.26,2.18,140.0,19600.0,0.002495049504950495,0.004316831683168317,48.902970297029704
505.0,1.26,2.18,140.0,19600.0,0.002495049504950495,0.004316831683168317,48.902970297029704
505.0,1.26,2.18,140.0,19600.0,0.002495049504950495,0.004316831683168317,48.902970297029704
505.0,1.26,2.18,140.0,19600.0,0.002495049504950495,0.004316831683168317,48.902970297029704
505.0,1.26,2.18,140.0,19600.0,0.002495049504950495,0.004316831683168317,48.902970297029704
600.0,1.26,2.18,140.0,19600.0,0.0021,0.0036333333333333335,41.16
600.0,1.26,2.18,140.0,19600.0,0.0021,0.0036333333333333335,41.16
600.0,1.26,2.18,140.0,19600.0,0.0021,0.0036333333333333335,41.16
600.0,1.26,2.18,140.0,19600.0,0.0021,0.0036333333333333335,41.16
600.0,1.26,2.18,140.0,19600.0,0.0021,0.0036333333333333335,41.16
405.0,1.73,2.82,140.0,19600.0,0.0042716049382716045,0.0069629629629629625,83.72345679012345
405.0,1.73,2.82,140.0,19600.0,0.0042716049382716045,0.0069629629629629625,83.72345679012345
405.0,1.73,2.82,140.0,19600.0,0.0042716049382716045,0.0069629629629629625,83.72345679012345
405.0,1.73,2.82,140.0,19600.0,0.0042716049382716045,0.0069629629629629625,83.72345679012345
405.0,1.73,2.82,140.0,19600.0,0.0042716049382716045,0.0069629629629629625,83.72345679012345
505.0,1.73,2.82,140.0,19600.0,0.0034257425742574257,0.005584158415841584,67.14455445544554
505.0,1.73,2.82,140.0,19600.0,0.0034257425742574257,0.005584158415841584,67.14455445544554
505.0,1.73,2.82,140.0,19600.0,0.0034257425742574257,0.005584158415841584,67.14455445544554
505.0,1.73,2.82,140.0,19600.0,0.0034257425742574257,0.005584158415841584,67.14455445544554
