Concrete,Strand,Rebar,Span_ft,Gir Dep (in),Lat Spac (ft),No. of Gir,bot flange bot part depth (in),bot flange bot part width (in),Number of strand per girder,Harp Pos (ft),Combo,Design_Rank,Family_ID
405.0,1.26,3.45,100.0,69.98425197,7.166666667,6.0,14.88235294,26.88346457,40.0,41.05511811,11.0,2,405.0_1.26_3.45_100.0
405.0,1.26,3.45,100.0,49.82677165,4.777777778,9.0,14.47058824,39.86246719,40.0,40.67716535,11.0,3,405.0_1.26_3.45_100.0
405.0,1.26,3.45,100.0,66.70866142,7.166666667,6.0,13.76470588,20.17952756,42.0,40.5511811,11.0,4,405.0_1.26_3.45_100.0
405.0,1.26,3.45,100.0,63.18110236,5.375,8.0,8.647058824,13.76338583,36.0,35.13385827,11.0,5,405.0_1.26_3.45_100.0
505.0,1.26,3.45,100.0,56.37795276,7.166666667,6.0,6.588235294,34.19685039,50.0,47.60629921,17.0,1,505.0_1.26_3.45_100.0
505.0,1.26,3.45,100.0,65.95275591,7.166666667,6.0,1.0,52.48031496,40.0,43.82677165,17.0,2,505.0_1.26_3.45_100.0
505.0,1.26,3.45,100.0,68.72440945,6.142857143,7.0,4.529411765,20.95343082,36.0,41.05511811,17.0,3,505.0_1.26_3.45_100.0
505.0,1.26,3.45,100.0,48.06299213,5.375,8.0,12.47058824,29.30433071,44.0,36.51968504,17.0,4,505.0_1.26_3.45_100.0
505.0,1.26,3.45,100.0,72.0,7.166666667,6.0,7.411764706,17.13228346,44.0,45.46456693,17.0,5,505.0_1.26_3.45_100.0
600.0,1.26,3.45,100.0,66.56955605,6.142857143,7.0,14.53502049,15.57864393,36.0,48.55725263,23.0,1,600.0_1.26_3.45_100.0
600.0,1.26,3.45,100.0,57.13385827,7.166666667,6.0,5.117647059,34.19685039,46.0,44.20472441,23.0,2,600.0_1.26_3.45_100.0
600.0,1.26,3.45,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,23.0,3,600.0_1.26_3.45_100.0
600.0,1.26,3.45,100.0,49.07086614,5.375,8.0,4.058823529,61.3003937,44.0,34.75590551,23.0,4,600.0_1.26_3.45_100.0
600.0,1.26,3.45,100.0,54.11023622,4.777777778,9.0,6.352941176,22.79790026,40.0,40.80314961,23.0,5,600.0_1.26_3.45_100.0
405.0,2.23,2.18,100.0,71.24409449,7.166666667,6.0,6.823529412,18.3511811,40.0,37.77952756,14.0,1,405.0_2.23_2.18_100.0
405.0,2.23,2.18,100.0,71.7480315,7.166666667,6.0,14.88235294,22.61732283,42.0,34.2519685,14.0,2,405.0_2.23_2.18_100.0
405.0,2.23,2.18,100.0,70.23622047,7.166666667,6.0,6.882352941,23.22677165,38.0,37.90551181,14.0,3,405.0_2.23_2.18_100.0
405.0,2.23,2.18,100.0,57.38582677,6.142857143,7.0,2.117647059,52.81889764,42.0,48.23622047,14.0,4,405.0_2.23_2.18_100.0
405.0,2.23,2.18,100.0,68.22047244,5.375,8.0,4.352941176,27.01889764,32.0,41.93700787,14.0,5,405.0_2.23_2.18_100.0
505.0,2.23,2.18,100.0,72.0,6.142857143,7.0,3.823529412,24.08773903,34.0,39.66929134,20.0,1,505.0_2.23_2.18_100.0
505.0,2.23,2.18,100.0,71.24409449,7.166666667,6.0,1.294117647,30.54015748,38.0,37.1496063,20.0,2,505.0_2.23_2.18_100.0
505.0,2.23,2.18,100.0,71.24409449,7.166666667,6.0,1.235294118,29.32125984,38.0,44.20472441,20.0,3,505.0_2.23_2.18_100.0
505.0,2.23,2.18,100.0,68.47244094,7.166666667,6.0,6.705882353,17.13228346,38.0,45.71653543,20.0,4,505.0_2.23_2.18_100.0
505.0,2.23,2.18,100.0,68.22047244,7.166666667,6.0,7.235294118,15.91338583,38.0,44.70866142,20.0,5,505.0_2.23_2.18_100.0
600.0,2.23,2.18,100.0,69.22834646,7.166666667,6.0,3.0,34.19685039,38.0,40.67716535,26.0,1,600.0_2.23_2.18_100.0
600.0,2.23,2.18,100.0,69.73228346,7.166666667,6.0,14.64705882,20.17952756,40.0,41.93700787,26.0,2,600.0_2.23_2.18_100.0
600.0,2.23,2.18,100.0,60.66141732,6.142857143,7.0,2.470588235,32.96827897,40.0,45.84251969,26.0,3,600.0_2.23_2.18_100.0
600.0,2.23,2.18,100.0,71.49606299,7.166666667,6.0,11.82352941,18.96062992,40.0,35.38582677,26.0,4,600.0_2.23_2.18_100.0
600.0,2.23,2.18,100.0,69.48031496,7.166666667,6.0,3.0,36.02519685,38.0,42.31496063,26.0,5,600.0_2.23_2.18_100.0
405.0,1.73,3.45,100.0,67.46456693,6.142857143,7.0,3.941176471,25.13250844,34.0,39.03937008,13.0,1,405.0_1.73_3.45_100.0
405.0,1.73,3.45,100.0,67.96850394,7.166666667,6.0,8.764705882,14.69448819,40.0,40.17322835,13.0,2,405.0_1.73_3.45_100.0
405.0,1.73,3.45,100.0,67.21259843,6.142857143,7.0,4.058823529,24.08773903,34.0,35.00787402,13.0,3,405.0_1.73_3.45_100.0
405.0,1.73,3.45,100.0,68.97637795,7.166666667,6.0,5.470588235,18.3511811,40.0,44.83464567,13.0,4,405.0_1.73_3.45_100.0
405.0,1.73,3.45,100.0,58.64566929,5.375,8.0,5.058823529,32.50393701,36.0,48.48818898,13.0,5,405.0_1.73_3.45_100.0
505.0,1.73,3.45,100.0,71.49606299,6.142857143,7.0,14.17647059,16.2519685,36.0,37.1496063,19.0,1,505.0_1.73_3.45_100.0
505.0,1.73,3.45,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,19.0,2,505.0_1.73_3.45_100.0
505.0,1.73,3.45,100.0,69.73228346,7.166666667,6.0,11.58823529,19.57007874,40.0,35.25984252,19.0,3,505.0_1.73_3.45_100.0
505.0,1.73,3.45,100.0,69.73228346,7.166666667,6.0,13.47058824,18.96062992,40.0,40.80314961,19.0,4,505.0_1.73_3.45_100.0
505.0,1.73,3.45,100.0,70.74015748,7.166666667,6.0,14.76470588,22.00787402,40.0,36.14173228,19.0,5,505.0_1.73_3.45_100.0
600.0,1.73,3.45,100.0,67.71653543,6.142857143,7.0,14.52941176,7.893813273,44.0,35.51181102,25.0,1,600.0_1.73_3.45_100.0
600.0,1.73,3.45,100.0,69.73228346,7.166666667,6.0,14.05882353,22.00787402,42.0,34.2519685,25.0,2,600.0_1.73_3.45_100.0
600.0,1.73,3.45,100.0,67.21259843,6.142857143,7.0,4.058823529,24.08773903,34.0,35.00787402,25.0,3,600.0_1.73_3.45_100.0
600.0,1.73,3.45,100.0,66.96062992,7.166666667,6.0,5.588235294,18.96062992,44.0,42.56692913,25.0,4,600.0_1.73_3.45_100.0
600.0,1.73,3.45,100.0,57.13385827,7.166666667,6.0,7.235294118,19.57007874,50.0,46.72440945,25.0,5,600.0_1.73_3.45_100.0
405.0,2.23,2.82,100.0,70.23622047,7.166666667,6.0,9.176470588,26.88346457,38.0,38.78740157,15.0,1,405.0_2.23_2.82_100.0
405.0,2.23,2.82,100.0,66.96062992,6.142857143,7.0,2.411764706,48.63982002,36.0,46.22047244,15.0,2,405.0_2.23_2.82_100.0
405.0,2.23,2.82,100.0,67.21259843,6.142857143,7.0,4.058823529,24.08773903,34.0,35.00787402,15.0,3,405.0_2.23_2.82_100.0
405.0,2.23,2.82,100.0,70.99212598,7.166666667,6.0,2.647058824,29.93070866,40.0,43.7007874,15.0,4,405.0_2.23_2.82_100.0
405.0,2.23,2.82,100.0,60.15748031,5.375,8.0,3.470588235,41.18858268,36.0,40.04724409,15.0,5,405.0_2.23_2.82_100.0
505.0,2.23,2.82,100.0,67.21259843,7.166666667,6.0,4.0,28.71181102,38.0,36.51968504,21.0,1,505.0_2.23_2.82_100.0
505.0,2.23,2.82,100.0,56.37795276,5.375,8.0,4.058823529,21.53385827,40.0,34.12598425,21.0,2,505.0_2.23_2.82_100.0
